,sup_1,sup_2,sup_3,sup_4,sup_5
Init,0.0,0.0,0.0,0.0,0.0
Jan,3750.0,1250.0,2916.666666666667,2104.166666666667,2885.8333327466653
Feb,3750.0,1250.0,2916.666666666667,2104.166666666667,2453.5419708266645
Mar,3750.0,1250.0,2916.666666666667,2104.166666666667,1272.5000019066647
Apr,2971.6666662266653,1250.0,2916.666666666667,2104.166666666667,437.5
May,1358.3333353866647,1250.0,2916.666666666667,2104.166666666667,437.5
Jun,177.2913616266651,1250.0,2916.666666666667,2104.166666666667,437.5
Jul,0.0,1250.0,2661.666666373332,2104.166666666667,437.5
Aug,177.2913616266651,1250.0,2916.666666666667,2104.166666666667,437.5
Sep,1358.3333353866647,1250.0,2916.666666666667,2104.166666666667,437.5
Oct,307.08393974667524,1250.0,2916.666666666667,2104.166666666667,3102.08272647999
Nov,0.0,1250.0,2916.666666666667,2104.166666666667,5022.500001906665
Dec,0.0,1250.0,2916.666666666667,2104.166666666667,6203.5419708266645
