,sup_1,sup_2,sup_3,sup_4,sup_5
Init,0.0,0.0,0.0,0.0,0.0
Jan,750.0,375.0,625.0,416.6666666666667,771.6166667880831
Feb,750.0,375.0,625.0,416.6666666666667,673.202836207433
Mar,750.0,375.0,625.0,416.6666666666667,404.331250352108
Apr,453.7125000364247,375.0,625.0,416.6666666666667,333.33333333333337
May,86.42708360045003,375.0,625.0,416.6666666666667,333.33333333333337
Jun,0.0,375.0,442.5554971987497,416.6666666666667,333.33333333333337
Jul,0.0,375.0,344.1416666180997,416.6666666666667,333.33333333333337
Aug,0.0,375.0,442.5554971987497,416.6666666666667,333.33333333333337
Sep,694.6797446160491,375.0,16.747338984400926,416.6666666666667,333.33333333333337
Oct,750.0,375.0,0.0,416.6666666666667,662.045833369758
Nov,750.0,375.0,0.0,416.6666666666667,1029.3312503521079
Dec,750.0,375.0,0.0,416.6666666666667,1298.202836207433
