,sup_1,sup_2,sup_3,sup_4,sup_5
Init,0.0,0.0,0.0,0.0,0.0
Jan,209.7222221757666,95.83333333333334,191.66666666666669,150.0,43.333333333333336
Feb,186.59299678926658,95.83333333333334,191.66666666666669,150.0,43.333333333333336
Mar,123.40277779786658,95.83333333333334,191.66666666666669,150.0,43.333333333333336
Apr,37.08333328436669,95.83333333333334,191.66666666666669,150.0,43.333333333333336
May,0.0,95.83333333333334,142.43055557313335,150.0,43.333333333333336
Jun,0.0,95.83333333333334,79.24033644613334,150.0,43.333333333333336
Jul,0.0,95.83333333333334,56.11111105963337,150.0,43.333333333333336
Aug,0.0,95.83333333333334,149.24033644613334,80.0,43.333333333333336
Sep,100.76388890646666,95.83333333333334,191.66666666666669,0.0,43.333333333333336
Oct,187.0833332843667,95.83333333333334,191.66666666666669,0.0,43.333333333333336
Nov,250.0,95.83333333333334,191.66666666666669,0.0,66.73611113119992
Dec,250.0,95.83333333333334,191.66666666666669,0.0,129.92633012259992
